@relation ElectionsData

@attribute 'Vote' {"Yellows", "Reds", "Whites", "Blues", "Oranges", "Greens", "Greys", "Browns", "Pinks", "Purples"}
@attribute 'Occupation_Satisfaction' NUMERIC
@attribute 'Avg_monthly_expense_when_under_age_21' NUMERIC
@attribute 'AVG_lottary_expanses' NUMERIC
@attribute 'Most_Important_Issue' {"Education", "Foreign_Affairs", "Financial", "Healthcare", "Environment", "Military", "Social", "Other"}
@attribute 'Avg_Residancy_Altitude' NUMERIC
@attribute 'Looking_at_poles_results' {"Yes", "No"}
@attribute 'Yearly_ExpensesK' NUMERIC
@attribute 'Married' {"Yes", "No"}
@attribute 'Gender' {"Male", "Female"}
@attribute 'Voting_Time' {"By_16:00", "After_16:00"}
@attribute 'Financial_balance_score_(0-1)' NUMERIC
@attribute '%Of_Household_Income' NUMERIC
@attribute 'Avg_government_satisfaction' NUMERIC
@attribute 'Avg_education_importance' NUMERIC
@attribute 'Avg_environmental_importance' NUMERIC
@attribute 'Avg_Satisfaction_with_previous_vote' NUMERIC
@attribute 'Avg_monthly_income_all_years' NUMERIC
@attribute '%Time_invested_in_work' NUMERIC
@attribute 'Yearly_IncomeK' NUMERIC
@attribute 'Avg_monthly_expense_on_pets_or_plants' NUMERIC
@attribute 'Avg_monthly_household_cost' NUMERIC
@attribute 'Will_vote_only_large_party' {"Yes", "No"}
@attribute 'Phone_minutes_10_years' NUMERIC
@attribute 'Avg_size_per_room' NUMERIC
@attribute 'Weighted_education_rank' NUMERIC
@attribute '%_satisfaction_financial_policy' NUMERIC
@attribute 'Garden_sqr_meter_per_person_in_residancy_area' NUMERIC
@attribute 'Last_school_grades' NUMERIC
@attribute 'Age_group' {"Below_30", "30-45", "45_and_up"}
@attribute 'Number_of_differnt_parties_voted_for' NUMERIC
@attribute 'Political_interest_Total_Score' NUMERIC
@attribute 'Number_of_valued_Kneset_members' NUMERIC
@attribute 'Main_transportation' {"Motorcycle_or_truck", "Car", "Public_or_other", "Foot_or_bicycle"}
@attribute 'Occupation' {"Industry_or_other", "Public_Sector", "Hightech", "Student_or_Unemployed", "Services_or_Retail"}
@attribute 'Overall_happiness_score' NUMERIC
@attribute 'Num_of_kids_born_last_10_years' NUMERIC
@attribute 'Financial_agenda_matters' {"Yes", "No"}

@data
"Whites",3,197.286971630414,62038.6156757059,"Military",65.7623238768047,"No",943.37626802735,"No","Female","By_16:00",0.0188357844017446,0.493343979120255,4.36535487882793,7.24662298336625,3.85932622477412,1.52361118933186,7934,11.15003132727,967.501790920473,11368.7662621144,116124.460081762,"Yes",889958.783077211,31.1046908185964,1874059.1949737,64.1356346663088,4400.44556555456,30,"30-45",1,1458.28315714549,17,"Foot_or_bicycle","Industry_or_other",986.387837028658,0,"Yes"
"Whites",10,35.8207051098176,319.74990535932,"Military",11.9402350366059,"No",26.7791969235986,"Yes","Male","After_16:00",0.317313627107069,0.239501458127052,2.18744910787791,4.93038564687595,2.92708738008514,0.794736826792359,5540,84.1149086365476,294.677093138604,857.146155513195,31390.7894614102,"Yes",717.125387872875,17.1661612813874,174026.017449577,65.0235421257094,164.509447765996,30,"45_and_up",4,427.917209226248,11,"Foot_or_bicycle","Industry_or_other",320.05981141829,0,"Yes"
"Blues",4,714.115234105994,96557.7227652514,"Environment",238.038411368665,"No",405.6392504473,"Yes","Female","After_16:00",0.447492790874094,0.409901795675978,0.610984729137272,6.86279021436349,0.809026509523392,7.15206278255209,6161,47.9306046618149,577.855483013248,5212.1034704995,66732.0080267732,"Yes",164543.201503448,24.0386248153518,668841.196970357,71.903870231472,56910.3236982863,90,"30-45",0,856.453471237288,20,"Motorcycle_or_truck","Services_or_Retail",591.639222961269,1,"No"
"Browns",2,1286.97559906791,323476.588875926,"Education",428.991866355971,"Yes",754.038978929054,"No","Male","After_16:00",0.929938349407166,0.148674122756347,6.37033261824399,3.57053582556546,5.99556713132188,4.31471637450159,4810,98.590381629765,185.791705547539,7911.97320038562,39886.0973944283,"No",568574.781744371,13.6305431127134,70331.7676494052,65.6152184121311,184473.013265935,100,"45_and_up",3,507.922917860283,15,"Foot_or_bicycle","Hightech",530.612969949185,0,"No"
"Reds",7,213.691186610744,43558.0394495851,"Social",71.2303955369147,"No",611.509161520961,"No","Male","After_16:00",0.54357455833815,0.220626191003248,1.18555776309222,7.19811199000105,7.97679925570264,6.81004437850788,8246,76.6949247103184,648.955703065031,7413.00302133967,78624.9599650196,"Yes",373943.454624069,25.4746089874807,843617.772502515,81.6511075012386,5154.99964388223,70,"30-45",4,999.838178779337,1,"Foot_or_bicycle","Public_Sector",709.254259737427,0,"No"
"Blues",4,265.552477874072,36808.2703180029,"Financial",88.5174926246906,"No",415.830467250897,"Yes","Male","By_16:00",0.0468888932373375,0.154760033590719,8.17489044042304,8.88554212870076,5.35160730360076,5.09060537442565,6493,85.0674413377419,548.845611869054,5255.99589624708,64472.2341066536,"Yes",172914.977494099,23.4274542336348,603475.601247165,95.5627584131435,7933.86399318684,60,"Below_30",1,828.92381944776,10,"Foot_or_bicycle","Student_or_Unemployed",586.759444081042,1,"No"
"Yellows",7,202.781951146192,40802.0902017518,"Healthcare",67.5939837153972,"No",603.63493848133,"No","Male","After_16:00",0.474422142375261,0.740491598378867,3.61358474940062,8.02248816005886,5.19239976769313,5.47931219451129,9636,43.8334574457258,622.831844697923,7282.01307420914,79711.7746835672,"Yes",364375.138955359,24.9565992214068,777305.841223923,24.4805613998324,4646.54061823278,80,"30-45",1,1047.50852697954,15,"Car","Services_or_Retail",853.192745806555,0,"No"
"Reds",1,282.69362698607,35509.7989170275,"Financial",94.2312089953567,"No",376.836923728499,"Yes","Male","After_16:00",0.319301386829466,0.270086182747036,5.60266027459875,2.36816393444315,5.31396625796333,4.1178534948267,5043,37.5612878706306,690.806071986076,5149.98138125714,81190.2090648547,"Yes",142006.067085159,26.2831899126814,955661.568831244,61.5617564646527,8983.75195772195,60,"30-45",1,1083.74601808606,1,"Car","Industry_or_other",848.673721851483,?,"No"
"Yellows",5,618.499761545542,105442.489615237,"Education",206.166587181847,"No",511.443154085064,"No","Female","After_16:00",0.524354503024369,0.0671279777307063,4.10046637291089,4.58384681725875,9.08866435755044,9.02240557596087,5975,40.2973198564723,621.313588867366,6357.05871858537,76306.1635746988,"Yes",261574.099860479,24.9261627385237,773361.139917701,86.3454859238118,42720.8282573921,100,"30-45",3,999.599215951386,13,"Motorcycle_or_truck","Public_Sector",778.5453411245,0,"No"
"Yellows",4,525.358696663434,73783.3304792567,"Financial",175.119565554478,"No",421.331164485464,"Yes","Male","After_16:00",0.404573643580079,0.291710714576766,6.14695909200236,6.43160971812904,0.442160533275455,6.83783959597349,5112,10.8659318182617,570.199790530601,5353.71122591584,65600.3365473467,"Yes",177519.950166677,23.8788565582735,651244.399646274,30.3388272179291,30851.9818055435,60,"30-45",2,834.046047679256,10,"Foot_or_bicycle","Services_or_Retail",557.466239506338,2,"No"
"Blues",8,186.990894932089,27219.5666988751,"Social",62.3302983106964,"No",436.698803576944,"Yes","Female","By_16:00",0.886669522384182,0.237022573594004,2.3370303097181,3.54668942280114,5.05430211080238,7.04940149094909,6541,9.1567715164274,582.252840124228,5531.49371601789,68291.6152936995,"Yes",190705.845045534,24.1299158747855,679104.634487425,93.3693965431303,3957.3963858111,70,"30-45",3,878.295445664134,14,"Public_or_other","Public_Sector",621.19601838927,0,"No"
"Oranges",4,690.926395864456,97590.5033122539,"Education",230.308798621485,"No",423.737624860112,"Yes","Female","After_16:00",0.838908631587401,0.696699241176248,3.93651512917131,4.45351521717384,8.67571588838473,2.83890189602971,3234,3.51288120727986,617.316783368794,5472.0098153387,74430.6736012616,"Yes",179553.574722089,24.8458604875902,763369.489739369,5.67801117431372,53282.4515210933,100,"45_and_up",0,985.823895977409,15,"Public_or_other","Student_or_Unemployed",775.730056918966,2,"No"
"Pinks",5,359.331390795323,89702.9063698656,"Other",119.777130265108,"No",748.915140739492,"No","Female","By_16:00",0.828567269491032,0.67090969462879,6.10588449519128,8.93284543883055,4.19808859238401,9.26670827204362,7472,15.9553171135485,731.244324706495,8951.64005680791,89496.5989810831,"Yes",560873.888028853,27.0415296295623,1070989.59195478,25.5858186632395,14476.3380648097,50,"45_and_up",2,1130.08739787484,5,"Public_or_other","Student_or_Unemployed",794.151983130093,0,"Yes"
"Whites",6,218.27330341483,72246.1073493597,"Military",72.7577678049434,"No",992.967617465183,"No","Female","After_16:00",0.0125790447928011,0.49351634667255,0.0217986851930618,2.43785687256604,3.81293714279309,3.73790377518162,5657,96.2167746853083,998.060956502542,11925.7980876569,119632.775024649,"Yes",985984.689334482,31.5921027553175,1994250.28945081,35.3841366944835,5376.45054376301,30,"Below_30",4,1495.53964450179,8,"Motorcycle_or_truck","Industry_or_other",995.976043805963,1,"Yes"
"Blues",6,700.355236739217,137822.935805422,"Education",233.451745579739,"No",590.370123226801,"No","Male","After_16:00",0.540770697174594,0.303346654167399,2.54474982852116,4.15729948086664,6.87665067380294,9.26042643375695,4377,55.2238315111026,642.027171124774,7187.75557451755,76732.5857798905,"Yes",348536.882398828,25.3382550923455,825664.847917536,48.8339509814978,54743.169259807,100,"30-45",1,970.211901010042,14,"Car","Hightech",666.700869350131,0,"No"
"Yellows",3,357.255216307099,41313.958642347,"Social",119.085072102366,"No",346.928107049666,"Yes","Female","After_16:00",0.748026648536325,0.349351016338915,4.70767468214035,4.6257103048265,2.02951054787263,2.27175064152107,8142,42.4830356612802,574.252375034407,4617.78582056547,64950.0419913849,"Yes",120359.111461065,23.9635634878122,660458.598753616,26.4043961185962,14310.3394697282,70,"45_and_up",3,836.56503886176,12,"Foot_or_bicycle","Services_or_Retail",570.090181251654,0,"No"
"Oranges",1,522.451532987285,72300.7921397805,"Financial",174.150510995762,"No",415.162675816324,"Yes","Male","By_16:00",0.499191056936979,0.124709739815444,9.69869925407693,9.96074612485245,8.50646582897753,8.96564436610788,3749,9.76084279827774,592.825850408812,5337.27845898086,72176.534478599,"Yes",172360.04739097,24.3480153279238,704079.388369374,91.6014627087861,30512.5509910806,60,"45_and_up",3,959.68346679775,13,"Foot_or_bicycle","Services_or_Retail",769.247867696374,0,"No"
"Reds",6,298.199945557943,44076.267946506,"Healthcare",99.3999818526476,"No",443.423299733047,"Yes","Female","By_16:00",0.623969593783841,0.896075040567666,3.17349201068282,5.70515506435186,8.89899337431416,1.04006482521072,8219,82.696764334105,734.976974121037,5904.18694557255,86424.033142061,"Yes",196624.222746144,27.1104587589557,1081709.10562887,39.1444914741442,9989.75637415931,80,"30-45",4,1142.51028313694,13,"Public_or_other","Student_or_Unemployed",873.377352909399,0,"No"
"Yellows",1,803.166131743542,131723.267822788,"Financial",267.722043914514,"No",492.015023853802,"Yes","Male","After_16:00",0.288268720265478,0.554722335189581,0.141643749084324,9.99152382370085,3.33186321659014,2.30586605845019,8266,72.5865616463125,573.979162050315,6068.10856263865,72607.766774805,"Yes",242078.783697857,23.9578622178673,660202.918847002,86.4312523044646,71952.8148416794,60,"30-45",1,964.156191823386,4,"Foot_or_bicycle","Student_or_Unemployed",796.746887185445,0,"No"
"Oranges",3,457.389968930931,66538.9848137542,"Social",152.463322976977,"No",436.426174600707,"Yes","Female","After_16:00",0.624124303692952,0.182330518262461,8.1946924701333,1.25446179416031,2.71974553354084,7.87530906731263,4978,60.9977268613875,572.813947107607,5509.88964022228,70792.1391517689,"Yes",190467.805876607,23.9335318561136,657441.0090642,74.9456235673279,23407.528176159,70,"Below_30",1,940.648613660142,6,"Car","Public_Sector",762.946887606451,0,"No"
"Yellows",7,322.458974722309,37560.1927682155,"Healthcare",107.486324907436,"No",349.441594552248,"Yes","Male","After_16:00",0.353109777439386,0.777021965477616,0.970747065730393,5.59651483548805,6.94857701659203,3.21076361229643,9505,69.3139910465106,598.936070428533,4692.28808637955,67509.0763470359,"Yes",122109.428003218,24.4731704204529,718401.912932921,?,11670.7963670144,80,"30-45",2,870.805831653188,20,"Motorcycle_or_truck","Industry_or_other",593.638417624567,0,"No"
"Yellows",7,886.091248491166,113442.572461183,"Social",295.363749497055,"No",384.077506648506,"Yes","Female","By_16:00",0.932480165734887,0.312087332364172,5.45832212315872,7.76674146996811,5.07375857327133,0.241288202814758,9034,81.8998070200905,597.345895967984,5035.46685842103,67152.9463453275,"Yes",147515.531113334,24.4406607105451,714596.401455578,73.5190847190097,87545.1082664563,70,"Below_30",4,855.061601706995,18,"Motorcycle_or_truck","Services_or_Retail",558.085089341918,1,"No"
"Blues",2,589.714227998623,85765.9468805568,"Financial",196.571409332874,"No",436.309365495369,"Yes","Male","By_16:00",0.103386359056458,0.474065890070051,4.02872286736965,1.41823907615617,1.00730702280998,4.16732741752639,7217,13.2906278828159,573.207546938654,5509.508748831,67402.3335370362,"Yes",190365.862418971,23.9417532135526,658194.37442942,8.65010488778353,38846.8903764453,60,"Below_30",3,866.658393327425,6,"Public_or_other","Public_Sector",614.281329066199,0,"No"
"Greys",7,148.386121255527,23582.2594169392,"Environment",49.4620404185091,"No",476.774900861439,"Yes","Female","By_16:00",0.32534421631135,0.114354161312804,9.06030435115099,5.83859230857342,9.24578771460801,6.04333600495011,5162,29.0150586981326,635.602250737748,6038.95351008988,75867.4928407567,"Yes",227314.306091435,25.2111533004293,809202.614554777,71.7227389570326,2505.95548278074,90,"30-45",1,987.418199817343,13,"Foot_or_bicycle","Student_or_Unemployed",735.397368134453,2,"No"
"Yellows",10,217.525847291919,34363.2562939204,"Education",72.5086157639728,"No",473.919629162117,"Yes","Female","By_16:00",0.846473381388932,0.622639175737277,0.229310593567789,0.484930877573788,1.50994315743446,5.52842774661258,6465,0.445260084234178,665.595121780828,6070.38653518282,75747.2119935572,"Yes",224599.814905158,25.7991302524102,887145.607060611,60.7637680601329,5340.00797577142,100,"45_and_up",4,960.405149808848,1,"Motorcycle_or_truck","Student_or_Unemployed",627.955154579783,0,"No"
"Pinks",4,184.024953489095,52268.0171156516,"Other",61.3416511630318,"No",852.080374829419,"No","Female","After_16:00",0.248762766830623,0.0908682320732623,6.91490273689851,0.0873642042279243,4.63828708278015,7.44153543608263,6325,19.448756868951,399.287156527862,9319.37806134991,60047.4835721445,"Yes",726040.965169443,19.9821709663355,320314.683836162,52.1357989404351,3834.13981857011,50,"Below_30",2,?,12,"Foot_or_bicycle","Hightech",592.136725122411,0,"Yes"
"Yellows",1,135.693328910798,18242.4599046042,"Healthcare",45.2311096369327,"No",403.316656412705,"Yes","Female","By_16:00",0.588408660842106,0.721821155631915,7.06978682661429,5.57946694316342,0.0570001592859626,4.74463988095522,4911,6.3224661629647,574.039879384094,5181.24632289523,66675.3400731184,"Yes",162664.325339924,23.9591293536325,660061.046666649,13.5822572745383,2101.08438862516,80,"30-45",0,859.049438899452,13,"Public_or_other","Services_or_Retail",604.163763624993,1,"No"
"Yellows",7,272.161201524238,37856.2588362459,"Environment",90.7204005080794,"No",417.284961532709,"Yes","Female","By_16:00",0.312014314811677,0.408647854113951,4.58759441738948,3.53280350798741,4.79332539252937,9.49029908049852,4700,41.8312946567312,665.976077575242,5504.80177047758,78002.9533559137,"Yes",174126.739121355,25.8065123094005,888242.122975404,2.5361854583025,8330.91146885441,90,"45_and_up",0,1024.39007040226,13,"Foot_or_bicycle","Public_Sector",766.566208862535,0,"No"
"Whites",8,127.991319007144,675.805598051457,"Military",42.6637730023815,"No",15.8402679953724,"Yes","Female","After_16:00",0.54897724930197,0.241744966711849,3.09414149494842,7.13412170531228,9.02350180549547,6.28948926459998,6727,35.110990726389,874.966808012314,1908.33629597835,80593.5623727378,"Yes",250.91409016522,29.579837863185,1531608.66760911,60.6475604930893,1872.86129980112,30,"Below_30",1,1013.5527013113,15,"Motorcycle_or_truck","Public_Sector",448.997094601362,2,"Yes"
"Greys",4,500.136610288745,76897.2294071237,"Social",166.712203429582,"No",461.257351442809,"Yes","Female","By_16:00",0.91513801808469,0.392684343038127,4.81598544167355,5.28774049831554,7.64087128452957,9.53341584187001,4592,55.025157914497,637.510843405453,5887.595201239,76606.919053443,"Yes",212758.344260035,25.2489770764174,814083.785514266,77.8825804358348,27969.6709757758,70,"Below_30",2,1006.07411608917,15,"Foot_or_bicycle","Hightech",772.377243759959,0,"No"
"Reds",1,338.933158487247,43275.9475920834,"Social",112.977719495749,"No",383.048514213564,"Yes","Female","By_16:00",0.44631675328128,0.713714671088383,2.58874467806891,6.63955981610343,6.4030423713848,3.83884641109034,7553,49.6451683808118,694.005667391521,5218.49647691868,81163.10821431,"Yes",146726.164241219,26.3439873100395,964512.556478242,34.6104061696678,12886.9428219559,70,"45_and_up",?,1078.79756253802,3,"Foot_or_bicycle","Student_or_Unemployed",831.775220928599,3,"No"
"Yellows",1,885.25771508703,119849.225188826,"Environment",295.08590502901,"No",406.150287581658,"Yes","Female","After_16:00",0.381416705204174,0.49669435294345,6.02516644634306,7.84813889535144,8.43580850400031,2.57364293793216,7299,68.4556866297498,594.463242664624,5250.42936114582,69044.6029937511,"Yes",164958.056102663,24.3816169001283,707823.287032856,18.6587863834575,87380.7772518189,90,"Below_30",2,892.653440454,12,"Public_or_other","Student_or_Unemployed",634.042986595346,1,"No"
"Reds",8,441.360811067018,54870.6883275979,"Healthcare",147.120270355673,"No",372.964841588073,"Yes","Female","After_16:00",0.874081076588482,0.297966385725886,4.33459880528972,4.6700678835623,1.79830299224705,1.78151976317167,4364,69.5089369546622,710.319694267584,5150.2878044159,82965.525602969,"Yes",139102.773060816,26.6518234698413,1010351.95087275,90.2240097522736,21801.4942198819,80,"Below_30",1,1107.00916018583,3,"Foot_or_bicycle","Hightech",860.849902372393,0,"No"
"Whites",8,453.82186777442,122791.961539081,"Foreign_Affairs",151.273955924807,"No",811.719114426523,"No","Male","By_16:00",0.155091269873083,0.954284521518275,2.16270847711712,2.7145218080841,2.76283142156899,0.974627218674868,8258,90.2156094787642,992.424309360931,10102.0397629871,115501.38215947,"Yes",658887.920725379,31.5027666937514,1971603.66101657,36.5780660416931,23045.0836970652,40,"30-45",1,1459.31493041846,18,"Motorcycle_or_truck","Student_or_Unemployed",969.922281101936,0,"Yes"
"Purples",2,6.73771479689538,1421.60582166668,"Financial",2.24590493229846,"Yes",632.976846536336,"No","Female","After_16:00",0.011931274086237,0.808804530184716,3.90067707048729,2.95221918262541,7.19489498762414,4.41709146369249,8935,62.5828634947538,535.460615529864,7400.68969642309,66870.138796646,"No",400659.688251085,23.1400219431587,574656.191594784,53.0340082244948,17.289993897221,60,"45_and_up",3,833.748829133537,9,"Foot_or_bicycle","Industry_or_other",577.073181006051,0,"Yes"
"Blues",1,161.755188447457,21444.281957088,"Healthcare",53.9183961491522,"No",397.717356016444,"Yes","Male","After_16:00",0.185040083248168,0.38348605344072,3.83192596491426,1.00889719324186,8.77343126339838,0.553874371107668,5979,15.0712062139064,576.371483983092,5129.91652813062,66436.5534360798,"Yes",158179.095276711,24.0077380022169,665405.702873983,80.6260192301124,2971.11183944607,80,"45_and_up",1,853.411281298447,8,"Motorcycle_or_truck","Services_or_Retail",589.810420224039,1,"No"
"Whites",1,117.627538480651,21518.6547086121,"Foreign_Affairs",39.2091794935502,"No",548.816756345332,"No","Female","By_16:00",0.120030659716576,0.977128999773413,8.43366126762703,2.75806748773903,5.05311355693266,6.70794163364917,3726,84.776982339099,952.638723659811,7393.44501077294,99701.0907640937,"Yes",301199.832045411,30.864846081907,1816215.54925888,?,1586.56893605099,40,"45_and_up",1,1220.08496200311,10,"Car","Industry_or_other",615.656870149485,3,"Yes"
"Yellows",6,604.742960792246,109704.69858258,"Environment",201.580986930749,"No",544.221457851419,"No","Female","After_16:00",0.986453655408695,0.298788525629789,7.88427912862971,9.39117643516511,2.46582282241434,9.06880735652521,8499,19.080055016093,551.859263828046,6545.93310617028,71427.962871122,"Yes",296176.995185924,23.4916849933768,610435.31808097,26.059995777905,40846.4752789054,90,"30-45",3,942.996721956562,20,"Public_or_other","Industry_or_other",783.802477452358,2,"No"
"Reds",4,141.172861024219,27839.4138383431,"Social",47.0576203414062,"No",591.602670011069,"No","Female","After_16:00",0.904753545532003,0.983944960637018,3.96749276202172,1.75089277792722,5.06564846960828,6.15610265173018,5246,82.7356969937682,666.355026405597,7248.73675292188,79914.561735484,"Yes",349993.719164226,25.8138533815778,889379.163112143,54.1494652628899,2271.47725253733,70,"45_and_up",2,1018.63879582806,6,"Car","Services_or_Retail",719.518010123827,0,"No"
"Blues",5,33.1579869060343,6256.37524574585,"Social",11.0526623020114,"No",566.051424968198,"No","Female","By_16:00",0.397582837380469,0.242774941958487,0.239613128360361,8.3176094898954,5.57072330266237,2.19316291389987,4747,8.80857442971319,627.032259494704,6914.57876867139,74622.7346209281,"Yes",320414.215708527,25.0406122028736,787560.059433683,78.1454169657081,143.214006264316,70,"30-45",0,943.483733365801,9,"Foot_or_bicycle","Student_or_Unemployed",645.099114647494,0,"No"
"Blues",2,258.648034213219,50565.5013945016,"Healthcare",86.2160114044062,"No",586.497804419625,"No","Female","After_16:00",0.266292248154059,0.027079310035333,7.0756119210273,4.20911158202216,1.40433251159266,3.71745226439089,6830,90.5824610264972,668.062704996122,7201.10345418849,79317.4111632344,"Yes",343979.67458904,25.8469090027439,893903.441769562,7.35991902183741,7529.41663388911,80,"30-45",3,1005.60039077349,7,"Foot_or_bicycle","Hightech",691.388351670043,1,"No"
"Reds",7,460.283289313239,56044.1145181495,"Social",153.427763104413,"No",365.280138249878,"Yes","Female","By_16:00",0.804460458690301,0.990126197226346,2.96705154469237,8.25905457604676,9.43544610403478,6.59820020897314,9472,83.6840715957806,709.315517478648,5071.43241745608,82711.6004604208,"Yes",133429.57939985,26.6329780061984,1007491.26927599,91.0018461756408,23703.5062543283,70,"30-45",1,1104.40321242275,12,"Motorcycle_or_truck","Student_or_Unemployed",858.982465733955,1,"No"
"Oranges",9,480.116036529948,128767.2847653,"Environment",160.038678843316,"No",804.601023302422,"No","Male","After_16:00",0.841469443868846,0.891359931090847,2.94330837205052,3.704841111321,2.835212869104,8.23536327341571,4950,23.2148884795606,844.941053605523,9735.89234023527,97201.7913896337,"Yes",647382.806699305,29.067869781006,1429357.90349433,78.3896652515978,25782.4174047574,90,"Below_30",4,?,15,"Public_or_other","Student_or_Unemployed",692.534335002202,0,"No"
"Whites",1,185.028005060309,6275.49970739713,"Foreign_Affairs",61.6760016867697,"No",101.749457418919,"Yes","Female","By_16:00",0.670859744772315,0.95150008215569,9.39323135884479,6.83053086511791,0.701895607635379,8.64470996893942,6003,69.1395079949871,994.187788377536,3005.87015094426,91436.9225431271,"Yes",10352.9520850443,31.5307435430492,1977372.73434488,98.924080748111,3875.60518575319,40,"45_and_up",2,1126.07783999477,13,"Motorcycle_or_truck","Student_or_Unemployed",442.267769426199,0,"Yes"
"Reds",7,648.330119448905,129506.00044752,"Environment",216.110039816302,"No",599.25952795901,"No","Male","After_16:00",0.951880737906322,0.85892580775544,2.20771781168878,5.61807322083041,0.608695314731449,3.02019720897079,3386,86.4009577315301,639.100400278748,7270.7960801476,77757.8452762871,"Yes",359111.981849656,25.2804351283507,818222.789812988,95.3513748710975,46929.6593492198,90,"45_and_up",1,992.559819105123,8,"Motorcycle_or_truck","Public_Sector",714.887012116697,4,"No"
"Yellows",1,459.614468274267,70375.9925435007,"Social",153.204822758089,"No",459.35885879144,"Yes","Male","By_16:00",0.416070454288274,0.203730463981628,6.06050760950893,7.11034191539511,4.39360446762294,3.02392701385543,7535,56.9046441931278,609.114469388068,5811.81752669054,76806.8392482093,"Yes",211010.561150174,24.6802445163752,743391.47515103,31.2379946699366,23634.9225390956,70,"45_and_up",0,1034.76023653948,12,"Motorcycle_or_truck","Industry_or_other",881.242656422144,0,"No"
"Oranges",2,382.544192248815,51544.010221795,"Healthcare",127.514730749605,"No",404.220045157055,"Yes","Male","After_16:00",0.190502977697179,0.0931902711745352,5.8401974150911,3.02350778365508,2.44155820226297,9.31789500173181,7292,96.4260384207591,565.323390456702,5172.84723248395,70544.3478857335,"Yes",163393.844906772,?,640397.323634927,?,16397.5212888939,80,"45_and_up",3,950.229053351247,17,"Foot_or_bicycle","Services_or_Retail",802.031994849021,0,"No"
"Blues",4,740.011045912574,149275.448366332,"Financial",246.670348637525,"No",605.161703426656,"No","Female","By_16:00",0.815631179139018,0.922811523778364,0.175959758926183,6.81628796737641,1.22349142795429,5.32424319768324,7963,8.16653775982559,644.799128071927,7341.21529041042,77032.8730025436,"Yes",366220.687294252,25.3928952282312,832806.175167128,9.39771006815135,61102.9312455955,60,"45_and_up",4,970.426555140798,12,"Car","Hightech",659.182339066795,1,"No"
"Oranges",10,919.192855789226,131009.615735913,"Social",306.397618596409,"No",427.580398098592,"Yes","Male","After_16:00",0.830737421289086,0.422173677012324,6.6025818279013,8.17931690486148,7.83674595877528,6.00073625566438,8201,76.1728335637599,573.724880709039,5423.253742404,71072.4530539885,"Yes",182824.996838151,23.9525547845953,659536.562053804,42.0488423900679,94195.8983001467,70,"Below_30",1,948.362515699936,14,"Car","Public_Sector",778.504166503884,0,"No"
"Greys",9,745.000318496947,154853.799696221,"Education",248.333439498982,"No",623.572081185045,"No","Female","By_16:00",0.35276008117944,0.55827086395584,2.74062741547823,1.2561633088626,5.22877795388922,8.49273130530491,5960,96.6155310161412,586.305268640926,7408.33134913231,72369.3084077123,"Yes",388842.140433449,24.2137413185349,688787.576046284,65.9060481004417,61927.8306128937,100,"Below_30",2,913.165896336479,20,"Car","Hightech",646.267892882282,2,"No"
"Browns",5,1261.0602050746,221551.942498547,"Healthcare",420.353401691532,"Yes",527.06113857294,"No","Male","After_16:00",0.331370468484238,0.63006158801727,9.37571658520028,4.49532689526677,7.76519727427512,1.28264796920121,7789,70.287953549996,35.6361530080578,5341.88369174551,16555.0447638338,"No",277793.443793803,5.96960241624665,3283.19773088945,53.4029021859169,177127.335715334,80,"Below_30",2,187.911546509095,16,"Public_or_other","Public_Sector",206.265789889097,1,"No"
"Oranges",8,538.386986889012,66547.295331554,"Financial",179.462328963004,"No",370.814842959453,"Yes","Female","After_16:00",0.184701671125367,0.901627867948264,6.36008660774678,3.897615945898,9.10426940303296,3.11820548260584,3412,55.0388735951856,592.08771064573,4892.32385088599,71146.56189226,"Yes",137503.647759044,24.3328524971021,702276.341764896,77.6290194131434,32396.1898457884,60,"45_and_up",4,949.866787144297,9,"Foot_or_bicycle","Hightech",759.81272653439,0,"No"
"Blues",8,344.021462116246,70999.4160184853,"Financial",114.673820705415,"No",619.142325438646,"No","Female","After_16:00",0.556249235756695,0.67515511251986,8.15937486710027,6.434511016123,2.42995542706922,3.26457976829261,9081,90.8611006569117,692.96790945315,7577.35907329276,81051.3465216097,"Yes",383337.219149574,26.3242836455838,961694.210877564,92.9781532147899,13274.7589758832,60,"45_and_up",0,1013.59609524519,9,"Motorcycle_or_truck","Services_or_Retail",656.021488386986,0,"No"
"Yellows",4,494.96113983007,68674.4038066618,"Education",164.987046610023,"No",416.241185097314,"Yes","Female","After_16:00",0.945506213931367,0.321865582372993,1.31593973375857,6.47097466746345,8.99852719157934,8.50819287355989,9035,58.9809454511851,684.125963672218,5530.66377831757,77119.2942853363,"Yes",173256.724171216,26.1558017210755,937148.697223583,47.1882725134492,27395.712595708,?,"45_and_up",1,990.231334617001,16,"Foot_or_bicycle","Public_Sector",665.787697604547,1,"No"
"Yellows",6,265.582273430779,32750.7501724139,"Environment",88.5274244769264,"No",369.950333085201,"Yes","Female","By_16:00",0.323368038283661,0.713978874264285,3.14264873508364,4.325013931375,7.09750561974943,1.63825068855658,6000,25.9257656987756,564.525770173074,4828.55487119816,65593.2988753893,"Yes",136863.248949851,23.7597510545265,638373.513825095,82.296593580395,7935.63230899484,90,"Below_30",3,852.504782966351,20,"Public_or_other","Student_or_Unemployed",614.873113004128,1,"No"
